Summary,Issue Type,Description,Epic Name,Parent,Priority,Labels,Story Points,Acceptance Criteria,Dependencies,Milestone
[EPIC-A] Architecture and Pipeline Integration,Epic,Synthetic ID: EPIC-A. Phase: Foundations and Architecture Baseline. Source: docs/backlog.md,EPIC-A: Architecture and Pipeline Integration,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-a",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M0-M1
[EPIC-B] Data Model Changes,Epic,Synthetic ID: EPIC-B. Phase: Foundations and Architecture Baseline. Source: docs/backlog.md,EPIC-B: Data Model Changes,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-b",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M0-M1
[EPIC-C] Repository Mining and Contribution Extraction,Epic,Synthetic ID: EPIC-C. Phase: Repository Mining and Identity/Mapping. Source: docs/backlog.md,EPIC-C: Repository Mining and Contribution Extraction,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-c",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M1
[EPIC-D] Service Boundary Mapping and Identity Normalization,Epic,Synthetic ID: EPIC-D. Phase: Repository Mining and Identity/Mapping. Source: docs/backlog.md,EPIC-D: Service Boundary Mapping and Identity Normalization,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-d",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M1
[EPIC-E] Temporal Windowing,Epic,Synthetic ID: EPIC-E. Phase: Temporal Windowing and Core Metrics. Source: docs/backlog.md,EPIC-E: Temporal Windowing,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-e",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M2
"[EPIC-F] Metric Algorithms (Ownership, PTC, NOC/AOC, Roles, RSI)",Epic,Synthetic ID: EPIC-F. Phase: Temporal Windowing and Core Metrics. Source: docs/backlog.md,"EPIC-F: Metric Algorithms (Ownership, PTC, NOC/AOC, Roles, RSI)",,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-f",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M2-M3
[EPIC-G] CLI and Config Work,Epic,"Synthetic ID: EPIC-G. Phase: CLI, Config, Export/Schema Contract. Source: docs/backlog.md",EPIC-G: CLI and Config Work,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-g",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M4
[EPIC-H] Export and Schema Compatibility,Epic,"Synthetic ID: EPIC-H. Phase: CLI, Config, Export/Schema Contract. Source: docs/backlog.md",EPIC-H: Export and Schema Compatibility,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-h",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M4
[EPIC-I] Tests and Fixtures,Epic,"Synthetic ID: EPIC-I. Phase: Tests, Fixtures, and Regression Safety. Source: docs/backlog.md",EPIC-I: Tests and Fixtures,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-i",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M5
[EPIC-J] Backward Compatibility and Production Hardening,Epic,"Synthetic ID: EPIC-J. Phase: Tests, Fixtures, and Regression Safety. Source: docs/backlog.md",EPIC-J: Backward Compatibility and Production Hardening,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-j",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M4-M5
[EPIC-K] Documentation and Adoption,Epic,Synthetic ID: EPIC-K. Phase: Documentation and Release Readiness. Source: docs/backlog.md,EPIC-K: Documentation and Adoption,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-k",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M5
[EPIC-L] Research Spikes,Epic,Synthetic ID: EPIC-L. Phase: Research Spikes and Governance. Source: docs/backlog.md,EPIC-L: Research Spikes,,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,epic-l",,Epic accepted when all scoped child backlog items are done and milestone exit criteria are met.,None,M0-M5
[BL-001] Establish organizational module package layout,Task,"Synthetic ID: BL-001. Owner role: architect. Summary: Create package structure for `organizational.models`, `organizational.extract`, `organizational.metrics`, `organizational.services`, `organizational.output`, `organizational.runner` aligned with existing CIMET pipeline.",,EPIC-A,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-001,epic-a",2,- Package directories/classes scaffolding committed. ; - Naming conventions documented in code comments or package-info. ; - No impact on existing runtime flow.,None,M0
[BL-002] Introduce OrganizationalAnalysisService orchestration skeleton,Story,Synthetic ID: BL-002. Owner role: backend engineer. Summary: Add orchestration service that defines stage order: extract contributions -> normalize identity -> map services -> windowing -> metrics -> export.,,EPIC-A,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-002,epic-a",3,- Service class with explicit stage interfaces exists. ; - Stage order deterministic and testable. ; - Placeholder execution path returns structured empty result.,BL-001,M1
[BL-003] Define backward-compatible integration mode with existing pipeline,Task,Synthetic ID: BL-003. Owner role: architect. Summary: Specify and implement additive organizational stage invocation without changing legacy IR/Delta/Merge/Detection outputs by default.,,EPIC-A,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-003,epic-a",3,- Organizational mode toggled explicitly (not default-on). ; - Existing runners behave unchanged in legacy configs. ; - Regression check added for unchanged technical artifacts.,BL-002,M0
[BL-004] Create socio-technical top-level model classes,Story,"Synthetic ID: BL-004. Owner role: backend engineer. Summary: Implement `SocioTechnicalMicroserviceSystem` model with `type`, `name`, `technical`, `organizational`, `traceability`, and metadata.",,EPIC-B,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-004,epic-b",3,- Model classes compile and serialize to JSON. ; - `technical` supports embedding existing `MicroserviceSystem` content. ; - Metadata section includes schema/version placeholders.,BL-001,M0
[BL-005] Implement organizational entity models,Story,"Synthetic ID: BL-005. Owner role: backend engineer. Summary: Add `DeveloperProfile`, `CommitContribution`, `ServiceOwnership`, `ServicePairRelation`, `IssueArtifact`, and relation-edge classes.",,EPIC-B,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-005,epic-b",5,- Required fields from PRD exist with clear types. ; - Entities support serialization/deserialization tests. ; - Deterministic ordering strategy documented (IDs/time).,BL-004,M1
[BL-006] Implement contribution extraction core (commit metadata),Story,"Synthetic ID: BL-006. Owner role: data engineer. Summary: Build extraction path for commit ID, author name/email, timestamp, touched files, and message.",,EPIC-C,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-006,epic-c",5,- Commit records produced for configurable analysis scope. ; - Extraction robust for empty ranges. ; - Extraction logs count of commits processed.,BL-002,M1
[BL-007] Add churn extraction (added/deleted LOC),Story,Synthetic ID: BL-007. Owner role: data engineer. Summary: Extend contribution extractor to include per-file and per-commit LOC churn with safe fallback for unsupported diffs.,,EPIC-C,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-007,epic-c",3,- LOC churn fields populated where possible. ; - Unsupported diff cases handled without run failure. ; - Test fixture covers binary/unparsable diff path.,BL-006,M1
[BL-008] Add optional issue/PR reference parsing,Story,Synthetic ID: BL-008. Owner role: backend engineer. Summary: Implement configurable heuristic parser for issue/PR IDs from commit messages.,,EPIC-C,Medium,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-008,epic-c",2,- Feature flag controls behavior. ; - Extracted issue refs attached to commit records. ; - Invalid patterns logged and ignored.,BL-006,M1
[BL-009] Implement file-to-microservice mapping using current IR paths,Story,"Synthetic ID: BL-009. Owner role: data engineer. Summary: Map touched files to services using existing CIMET path semantics, including unmapped bucket.",,EPIC-D,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-009,epic-d",3,- Mapping function deterministic and reusable. ; - Unmapped files counted and exposed. ; - Mapping coverage metrics emitted.,BL-005; BL-006,M1
[BL-010] Handle multi-service and shared/global file contribution allocation,Story,Synthetic ID: BL-010. Owner role: architect. Summary: Implement allocation policy for commits touching multiple services or non-service paths.,,EPIC-D,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-010,epic-d",3,- Policy configurable (include/exclude/low-weight global files). ; - Allocation deterministic and documented. ; - Edge-case tests for mixed commits pass.,BL-009,M1
[BL-011] Implement developer identity normalization resolver,Story,Synthetic ID: BL-011. Owner role: data engineer. Summary: Normalize aliases/emails to stable developer IDs and retain alias provenance.,,EPIC-D,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-011,epic-d",3,- Canonical developer IDs generated deterministically. ; - Alias lists retained in model. ; - Ambiguous unresolved identities captured in warnings/metadata.,BL-006,M1
[BL-012] Support optional manual alias mapping file,Story,Synthetic ID: BL-012. Owner role: backend engineer. Summary: Add override mechanism for canonical identity mapping from external config file.,,EPIC-D,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-012,epic-d",2,- Mapping file path configurable. ; - Override precedence over auto-resolver implemented. ; - Validation catches malformed mapping entries.,BL-011; BL-026,M1
[BL-013] Generate traceability relation edges,Story,"Synthetic ID: BL-013. Owner role: backend engineer. Summary: Emit `developerToCommit`, `commitToFile`, `developerToMicroservice`, and optional `commitToIssue` edge tables.",,EPIC-D,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-013,epic-d",3,- All required edge tables generated. ; - Edge referential consistency checks pass. ; - Deduplication rules applied deterministically.,BL-005; BL-008; BL-009; BL-011,M1
[BL-014] Implement window specification engine,Story,"Synthetic ID: BL-014. Owner role: data engineer. Summary: Support full-history, trailing-duration, and calendar-bucket windows with explicit timezone behavior.",,EPIC-E,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-014,epic-e",3,- Window generation supports required modes. ; - Boundary semantics documented and tested. ; - Window metadata stored for export.,BL-006; BL-026,M2
[BL-015] Implement deterministic contribution-to-window assignment,Story,Synthetic ID: BL-015. Owner role: backend engineer. Summary: Assign each contribution event to windows according to configured rules.,,EPIC-E,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-015,epic-e",2,- No accidental duplicate event assignment. ; - Boundary event behavior covered by tests. ; - Deterministic output order guaranteed.,BL-014,M2
[BL-016] Implement service ownership and concentration calculator,Story,"Synthetic ID: BL-016. Owner role: data engineer. Summary: Compute per-service contributor shares, primary developers, and concentration per window.",,EPIC-F,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-016,epic-f",5,- Ownership outputs populated for service-window pairs. ; - Primary owner selection configurable (threshold/top-k). ; - Handles no-contribution services gracefully.,BL-010; BL-015,M2
[BL-017] Implement PTC algorithm module,Story,"Synthetic ID: BL-017. Owner role: architect. Summary: Compute Pairwise Team Cohesion per service-window, reflecting focused and balanced participation.",,EPIC-F,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-017,epic-f",3,- PTC values generated for eligible service-window pairs. ; - PTC edge cases explicitly handled and documented. ; - Formula version tag included in output metadata.,BL-016,M2
[BL-018] Implement pairwise normalized organizational coupling (NOC),Story,Synthetic ID: BL-018. Owner role: data engineer. Summary: Compute pairwise service coupling using developer overlap and switching behavior signals.,,EPIC-F,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-018,epic-f",5,- `servicePairRelations` includes coupling values and shared developer info. ; - Switching score computed and emitted per pair. ; - Normalization method documented and test-covered.,BL-015; BL-016,M2
[BL-019] Implement AOC aggregation,Story,Synthetic ID: BL-019. Owner role: backend engineer. Summary: Aggregate pairwise NOC into average organizational coupling per window.,,EPIC-F,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-019,epic-f",2,- AOC generated per window. ; - Aggregation denominator/exclusions emitted. ; - Stable behavior for sparse pair sets.,BL-018,M2
[BL-020] Implement Jack score calculator,Story,Synthetic ID: BL-020. Owner role: data engineer. Summary: Compute breadth-oriented developer role score per window.,,EPIC-F,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-020,epic-f",3,- Jack score emitted for active developers. ; - Normalization and interpretation documented. ; - Unit tests include single-service vs multi-service contrast.,BL-016; BL-015,M3
[BL-021] Implement Maven score calculator,Story,Synthetic ID: BL-021. Owner role: data engineer. Summary: Compute depth-oriented developer role score per window.,,EPIC-F,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-021,epic-f",3,- Maven score emitted for active developers. ; - Deep specialization pattern validated on fixtures. ; - Formula version tracked.,BL-016,M3
[BL-022] Implement Connector score calculator,Story,Synthetic ID: BL-022. Owner role: architect. Summary: Compute brokerage-oriented developer role score per window.,,EPIC-F,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-022,epic-f",3,- Connector score emitted for active developers. ; - Low-bridge behavior validated for non-switching developers. ; - Algorithm assumptions documented.,BL-018; BL-015,M3
[BL-023] Implement role classification thresholds and presets,Story,Synthetic ID: BL-023. Owner role: backend engineer. Summary: Map Jack/Maven/Connector scores to role labels based on configurable thresholds.,,EPIC-F,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-023,epic-f",2,- Labeling configuration parsed and applied. ; - Invalid threshold sets rejected with clear errors. ; - Output includes both raw scores and labels.,BL-020; BL-021; BL-022; BL-026,M3
[BL-024] Implement RSI calculator,Story,Synthetic ID: BL-024. Owner role: data engineer. Summary: Compute Role Stacking Index capturing co-occurrence of Jack/Maven/Connector signals.,,EPIC-F,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-024,epic-f",3,- RSI emitted per developer-window. ; - Sparse activity edge cases handled. ; - RSI formula version in metadata.,BL-020; BL-021; BL-022,M3
[BL-025] Add metric explainability metadata,Story,"Synthetic ID: BL-025. Owner role: architect. Summary: Attach per-metric provenance: formula version, normalization settings, exclusions, and input counts.",,EPIC-F,Medium,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-025,epic-f",2,- Metadata emitted consistently by all metric modules. ; - Explainability section validated by tests. ; - Does not break target example-compatible shape.,BL-017; BL-018; BL-019; BL-024,M2
[BL-026] Add organizational config parsing and validation,Story,"Synthetic ID: BL-026. Owner role: backend engineer. Summary: Extend config model to include optional organizational block with defaults, validations, and runtime access.",,EPIC-G,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-026,epic-g",3,- Organizational block parsed when present. ; - Missing block keeps legacy behavior. ; - Validation errors are actionable and deterministic.,BL-003,M4
[BL-027] Create OrganizationalAnalysisRunner CLI,Story,"Synthetic ID: BL-027. Owner role: backend engineer. Summary: Implement dedicated runner with `--config`, `--output`, window options, threshold controls, and help output.",,EPIC-G,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-027,epic-g",3,- Runner executes end-to-end organizational pipeline. ; - Invalid args return usage + non-zero exit. ; - CLI help documents options and defaults.,BL-002; BL-026,M4
[BL-028] Implement CLI-over-config precedence,Story,Synthetic ID: BL-028. Owner role: backend engineer. Summary: Apply precedence rules so CLI options override config values consistently.,,EPIC-G,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-028,epic-g",2,- Precedence behavior tested for all overlapping options. ; - Effective runtime config logged. ; - Conflict behavior deterministic and documented.,BL-027,M4
[BL-029] Implement OrganizationalIRExportService,Story,Synthetic ID: BL-029. Owner role: backend engineer. Summary: Serialize socio-technical artifact to JSON using existing utility conventions.,,EPIC-H,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-029,epic-h",3,- Export service writes artifact to configured path. ; - Directory creation and write failures handled. ; - Export output deterministic for same input.,BL-004; BL-005; BL-013,M4
[BL-030] Enforce compatibility with docs/example_ir.json target shape,Story,Synthetic ID: BL-030. Owner role: architect. Summary: Ensure exported JSON aligns with expected top-level and organizational sections when possible.,,EPIC-H,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-030,epic-h",3,- Required sections/fields present and typed correctly. ; - Optional arrays allowed empty. ; - Compatibility checker/test implemented.,BL-029,M4
[BL-031] Define output naming convention and metadata/versioning,Story,Synthetic ID: BL-031. Owner role: backend engineer. Summary: Add deterministic output filename strategy and include schema/provenance metadata in artifact.,,EPIC-H,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-031,epic-h",2,"- Naming convention documented and tested. ; - Metadata includes schema version, generation time, window/config summary. ; - Defaults and override behavior clear.",BL-029; BL-030,M4
[BL-032] Build synthetic fixture generator for socio-technical test datasets,Task,"Synthetic ID: BL-032. Owner role: QA. Summary: Create reusable fixtures with controlled commits, aliases, service mappings, and switching patterns.",,EPIC-I,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-032,epic-i",3,"- Fixture generator or static fixtures available for unit/integration tests. ; - Covers at least: alias collision, multi-service commits, sparse windows. ; - Fixture docs explain intended metric outcomes.",BL-005; BL-006,M5
"[BL-033] Unit tests: extraction, mapping, identity, windowing",Task,Synthetic ID: BL-033. Owner role: QA. Summary: Add unit coverage for foundational data pipeline components.,,EPIC-I,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-033,epic-i",5,- Core primitives have high-signal tests. ; - Edge cases covered for empty/malformed inputs. ; - Tests deterministic and CI-enabled.,BL-007; BL-009; BL-011; BL-015; BL-032,M5
[BL-034] Golden tests: ownership/PTC/NOC/AOC/roles/RSI,Task,Synthetic ID: BL-034. Owner role: QA. Summary: Add fixed expected-value tests to protect metric algorithms from silent drift.,,EPIC-I,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-034,epic-i",5,- Golden expected outputs committed and reviewed. ; - Formula version bumps require explicit golden updates. ; - Failure diffs readable for diagnosis.,BL-017; BL-018; BL-019; BL-020; BL-021; BL-022; BL-024; BL-032,M5
[BL-035] Export/schema contract tests,Task,Synthetic ID: BL-035. Owner role: QA. Summary: Validate exported artifact compatibility and field contracts including optional sections.,,EPIC-I,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-035,epic-i",3,- Key-path/type contract tests pass. ; - Required fields enforced. ; - Optional sections accepted as empty arrays.,BL-030,M5
[BL-036] Regression tests for legacy CIMET flows,Task,Synthetic ID: BL-036. Owner role: QA. Summary: Ensure existing IR/Delta/Merge/detection behavior is unchanged when organizational mode disabled.,,EPIC-J,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-036,epic-j",3,- Legacy integration tests pass unchanged. ; - Representative old outputs compared baseline vs new code. ; - Regression report attached to CI artifacts.,BL-003; BL-027,M5
[BL-037] Performance baseline and scalability scenario,Task,Synthetic ID: BL-037. Owner role: data engineer. Summary: Establish runtime and memory baseline for full-history vs windowed analysis on medium/large histories.,,EPIC-J,Medium,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-037,epic-j",3,- Benchmark scenario and results documented. ; - Bottlenecks identified with recommended optimizations. ; - Follow-up backlog tickets created for confirmed hotspots.,BL-027; BL-034,M4
[BL-038] Structured logging and failure diagnostics hardening,Task,"Synthetic ID: BL-038. Owner role: backend engineer. Summary: Standardize logs for stage progress, counts, warnings, and failure reasons.",,EPIC-J,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-038,epic-j",2,"- Each stage logs start/end with counts. ; - Failures include actionable context (invalid config, mapping misses, parse failures). ; - Log format consistent across runner and services.",BL-027,M4
[BL-039] Document metric definitions and caveats,Task,"Synthetic ID: BL-039. Owner role: docs. Summary: Add documentation for PTC, NOC/AOC, Jack/Maven/Connector, RSI, assumptions, and interpretation limits.",,EPIC-K,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-039,epic-k",3,- Docs include formulas/semantics and edge-case interpretation. ; - Assumptions and limitations explicitly stated. ; - Links to config controls affecting each metric.,BL-017; BL-018; BL-019; BL-024,M5
[BL-040] Publish runner usage and migration guide,Task,"Synthetic ID: BL-040. Owner role: docs. Summary: Document CLI usage, config examples, output interpretation, and backward compatibility guarantees.",,EPIC-K,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-040,epic-k",2,- Quick-start examples for full-history and windowed runs. ; - Migration guidance for existing CIMET users. ; - Troubleshooting section added.,BL-027; BL-031; BL-036,M5
[BL-041] Metric formula calibration spike,Task,Synthetic ID: BL-041. Owner role: architect. Summary: Validate and calibrate PTC/NOC/AOC/role/RSI formulations against reference examples and synthetic scenarios.,,EPIC-L,Highest,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-041,epic-l",3,- Formula alternatives evaluated and documented. ; - Default formulations selected with rationale. ; - Metric metadata/version updates identified.,BL-017; BL-018; BL-019; BL-024,M0
[BL-042] Identity normalization quality spike,Task,Synthetic ID: BL-042. Owner role: data engineer. Summary: Assess alias normalization quality (false merges/splits) and tune resolution rules.,,EPIC-L,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-042,epic-l",2,- Quality assessment on representative datasets completed. ; - High-risk ambiguity patterns documented. ; - Resolver refinement recommendations captured.,BL-011; BL-012,M3
[BL-043] NOC switching-signal design spike,Task,Synthetic ID: BL-043. Owner role: architect. Summary: Compare switching signal variants (commit-count vs LOC-weighted) and select default strategy.,,EPIC-L,High,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-043,epic-l",2,- Variant comparison results documented. ; - Default strategy selected with rationale. ; - Compatibility impact on AOC metadata documented.,BL-018,M2
[BL-044] Incremental/windowed scaling spike,Task,Synthetic ID: BL-044. Owner role: data engineer. Summary: Prototype incremental processing and caching strategy for large-history repositories.,,EPIC-L,Medium,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-044,epic-l",3,- Prototype design and measurements documented. ; - Bottlenecks and recommended path identified. ; - Follow-up implementation tasks proposed.,BL-037,M5
[BL-045] Schema evolution and migration policy spike,Task,"Synthetic ID: BL-045. Owner role: architect. Summary: Define schema evolution policy, compatibility levels, and migration guidance for socio-technical IR outputs.",,EPIC-L,Medium,"cimet,organizational-analysis,cohesion,coupling,ir-export,bl-045,epic-l",2,- Versioning policy documented with examples. ; - Breaking vs non-breaking criteria established. ; - Migration-note template created for future schema changes.,BL-030; BL-031,M5
